📺央卫视备用频道,#genre#
CCTV-1,https://cc06.tv12.xyz/1.m3u8
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
广东珠江,http://r.jdshipin.com/sE5vO
广东体育,http://r.jdshipin.com/LiYdg

🌊港·澳·台,#genre#
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn

🕘️更新时间,#genre#
2025-10-11 06:33:10,https://cc06.tv12.xyz/1.m3u8
